min_t	max_t	latest_value	n	category	sub_category	unit	scale
1997	2021	133.3	25	Agriculture-Agriculture Indices	Agriculture Volume Index	Percentage Change	Index Point
2005	2021	182	17	Agriculture-Coconut	Estimated Coconut Production - Central	Nuts	Million
2005	2021	173	17	Agriculture-Coconut	Estimated Coconut Production - Eastern	Nuts	Million
2005	2021	358	17	Agriculture-Coconut	Estimated Coconut Production - North Central	Nuts	Million
2005	2021	1339	17	Agriculture-Coconut	Estimated Coconut Production - North Western	Nuts	Million
2005	2021	114	17	Agriculture-Coconut	Estimated Coconut Production - Northern	Nuts	Million
2005	2021	263	17	Agriculture-Coconut	Estimated Coconut Production - Sabaragamuwa	Nuts	Million
2005	2021	357	17	Agriculture-Coconut	Estimated Coconut Production - Southern	Nuts	Million
2005	2021	127	17	Agriculture-Coconut	Estimated Coconut Production - Uva	Nuts	Million
2005	2021	471	17	Agriculture-Coconut	Estimated Coconut Production - Western	Nuts	Million
2000	2021	104235	22	Agriculture-Fish Production	Inland Fish Production - All Island	Mt	 
2000	2021	331675	22	Agriculture-Fish Production	Marine Fish Production-All Island	Mt	 
2000	2021	435910	22	Agriculture-Fish Production	Total Fish Production	Mt	 
1997	2021	0.68	25	Agriculture-Minor Export Crops	CARDAMOMS Production	Kg	Million
1997	2021	1.78	24	Agriculture-Minor Export Crops	CASHEW Production	Kg	Million
1997	2021	23.73	25	Agriculture-Minor Export Crops	CINNAMON Production	Kg	Million
1997	2021	5.71	25	Agriculture-Minor Export Crops	CLOVES Production	Kg	Million
1997	2021	1.35	25	Agriculture-Minor Export Crops	COCOA Production	Kg	Million
1997	2021	5.31	25	Agriculture-Minor Export Crops	COFFEE Production	Kg	Million
2010	2018	0.1	9	Agriculture-Minor Export Crops	MACE Production	Kg	Million
1997	2021	3.82	25	Agriculture-Minor Export Crops	NUTMEG Production	Kg	Million
1997	2021	42.49	25	Agriculture-Minor Export Crops	PEPPER Production	Kg	Million
1997	2021	9.85	25	Agriculture-Minor Export Crops	TOBACCO Production	Kg	Million
1997	2021	30.84	25	Agriculture-National Livestock Statistics	Beef Production	Kg	Million
1997	2021	1953.71	25	Agriculture-National Livestock Statistics	Egg Production	No	Million
1997	2021	1.98	25	Agriculture-National Livestock Statistics	Mutton Production	Kg	Million
1997	2021	513.31	25	Agriculture-National Livestock Statistics	National Milk Production	Mn litres	Million
1997	2021	9.44	25	Agriculture-National Livestock Statistics	Pork Production	Kg	Million
1997	2021	236.67	25	Agriculture-National Livestock Statistics	Poultry Production	Kg	Million
2005	2021	60.1	17	Agriculture-Paddy	Paddy Net Extent Harvested - Central	Ha	' 000
2005	2021	301.9	17	Agriculture-Paddy	Paddy Net Extent Harvested - Eastern	Ha	' 000
2005	2021	303.3	17	Agriculture-Paddy	Paddy Net Extent Harvested - North Central	Ha	' 000
2005	2021	180.3	17	Agriculture-Paddy	Paddy Net Extent Harvested - North Western	Ha	' 000
2005	2021	123.3	17	Agriculture-Paddy	Paddy Net Extent Harvested - Northern	Ha	' 000
2005	2021	36.3	17	Agriculture-Paddy	Paddy Net Extent Harvested - Sabaragamuwa	Ha	' 000
2005	2021	118.8	17	Agriculture-Paddy	Paddy Net Extent Harvested - Southern	Ha	' 000
2005	2021	85.6	17	Agriculture-Paddy	Paddy Net Extent Harvested - Uva	Ha	' 000
2005	2021	49.4	17	Agriculture-Paddy	Paddy Net Extent Harvested - Western	Ha	' 000
1997	2021	5149.6	25	Agriculture-Paddy	Paddy Production	Kg	Million
2005	2021	234.2	17	Agriculture-Paddy	Paddy Production - Central	Mt	' 000
2005	2021	1297.6	17	Agriculture-Paddy	Paddy Production - Eastern	Mt	' 000
2005	2021	1302.0	17	Agriculture-Paddy	Paddy Production - North Central	Mt	' 000
2005	2021	679.0	17	Agriculture-Paddy	Paddy Production - North Western	Mt	' 000
2005	2021	491.5	17	Agriculture-Paddy	Paddy Production - Northern	Mt	' 000
2005	2021	129.9	17	Agriculture-Paddy	Paddy Production - Sabaragamuwa	Mt	' 000
2005	2021	489.2	17	Agriculture-Paddy	Paddy Production - Southern	Mt	' 000
2005	2021	381.6	17	Agriculture-Paddy	Paddy Production - Uva	Mt	' 000
2005	2021	144.6	17	Agriculture-Paddy	Paddy Production - Western	Mt	' 000
2005	2021	76	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Central	Bushels per Acre	 
2005	2021	83	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Eastern	Bushels per Acre	 
2005	2021	83	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - North Central	Bushels per Acre	 
2005	2021	73	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - North Western	Bushels per Acre	 
2005	2021	77	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Northern	Bushels per Acre	 
2005	2021	69	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Sabaragamuwa	Bushels per Acre	 
2005	2021	80	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Southern	Bushels per Acre	 
2005	2021	86	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Uva	Bushels per Acre	 
2005	2021	57	17	Agriculture-Paddy	Paddy Yield - Bushels per Acre - Western	Bushels per Acre	 
2005	2021	3897	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Central	Kg per Hectare	 
2005	2021	4298	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Eastern	Kg per Hectare	 
2005	2021	4293	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - North Central	Kg per Hectare	 
2005	2021	3765	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - North Western	Kg per Hectare	 
2005	2021	3985	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Northern	Kg per Hectare	 
2005	2021	3578	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Sabaragamuwa	Kg per Hectare	 
2005	2021	4116	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Southern	Kg per Hectare	 
2005	2021	4456	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Uva	Kg per Hectare	 
2005	2021	2927	17	Agriculture-Paddy	Paddy Yield - Kg per Hectare - Western	Kg per Hectare	 
2005	2021	1.3	17	Agriculture-Rubber	Estimated Rubber Production - Central	Kg	Million
2019	2021	0.2	3	Agriculture-Rubber	Estimated Rubber Production - Eastern	Kg	Million
			0	Agriculture-Rubber	Estimated Rubber Production - North Central	Kg	Million
2005	2021	1.3	17	Agriculture-Rubber	Estimated Rubber Production - North Western	Kg	Million
			0	Agriculture-Rubber	Estimated Rubber Production - Northern	Kg	Million
2005	2021	41.3	17	Agriculture-Rubber	Estimated Rubber Production - Sabaragamuwa	Kg	Million
2005	2021	5.3	17	Agriculture-Rubber	Estimated Rubber Production - Southern	Kg	Million
2005	2021	5.0	17	Agriculture-Rubber	Estimated Rubber Production - Uva	Kg	Million
2005	2021	22.4	17	Agriculture-Rubber	Estimated Rubber Production - Western	Kg	Million
1997	2021	82.13	25	Agriculture-Subsidiary Food Crops	ARECANUT Production	Kg	Million
1997	2021	69.39	25	Agriculture-Subsidiary Food Crops	ASH PLANTAIN Production	Kg	Million
1997	2021	11.31	25	Agriculture-Subsidiary Food Crops	ASH PUMPKIN Production	Kg	Million
1997	2021	72.98	25	Agriculture-Subsidiary Food Crops	BANDAKKA Production	Kg	Million
1997	2021	76.86	25	Agriculture-Subsidiary Food Crops	BEANS Production	Kg	Million
1997	2021	5.1	25	Agriculture-Subsidiary Food Crops	BEATLE LEAVES Production	Kg	Million
1997	2021	40.99	25	Agriculture-Subsidiary Food Crops	BEETROOT Production	Kg	Million
1997	2021	65.91	25	Agriculture-Subsidiary Food Crops	BIG ONIONS Production	Kg	Million
1997	2021	47.55	25	Agriculture-Subsidiary Food Crops	BITTER GOURD Production	Kg	Million
1997	2021	14.4	25	Agriculture-Subsidiary Food Crops	BLACK GRAM Production	Kg	Million
1997	2021	128.35	25	Agriculture-Subsidiary Food Crops	BRINJALS Production	Kg	Million
1997	2021	129.11	25	Agriculture-Subsidiary Food Crops	CABBAGE Production	Kg	Million
1997	2021	27.48	25	Agriculture-Subsidiary Food Crops	CAPSICUM Production	Kg	Million
1997	2021	95.42	25	Agriculture-Subsidiary Food Crops	CARROT Production	Kg	Million
1997	2021	67.15	25	Agriculture-Subsidiary Food Crops	CHILLIES (GREEN) Production	Kg	Million
2014	2021	48.97	8	Agriculture-Subsidiary Food Crops	COCOYAM Production	Kg	Million
1997	2021	11.88	25	Agriculture-Subsidiary Food Crops	COWPEA Production	Kg	Million
1997	2021	36.65	25	Agriculture-Subsidiary Food Crops	CUCUMBER Production	Kg	Million
2014	2021	16.89	8	Agriculture-Subsidiary Food Crops	EGG PLANT Production	Kg	Million
2014	2021	2.59	8	Agriculture-Subsidiary Food Crops	GHERKIN Production	Kg	Million
1997	2021	12.0	25	Agriculture-Subsidiary Food Crops	GINGELLY Production	Kg	Million
2010	2021	56.83	12	Agriculture-Subsidiary Food Crops	GINGER (RAW) Production	Kg	Million
1997	2021	18.93	25	Agriculture-Subsidiary Food Crops	GREEN GRAM Production	Kg	Million
1997	2021	36.95	25	Agriculture-Subsidiary Food Crops	GROUND NUTS Production	Kg	Million
2014	2021	8.83	8	Agriculture-Subsidiary Food Crops	INNALA Production	Kg	Million
1997	2021	15.63	25	Agriculture-Subsidiary Food Crops	KNOLKHOL Production	Kg	Million
1997	2021	8.06	25	Agriculture-Subsidiary Food Crops	KURAKKAN Production	Kg	Million
1997	2021	44.73	25	Agriculture-Subsidiary Food Crops	LEEKS Production	Kg	Million
2014	2021	64.37	8	Agriculture-Subsidiary Food Crops	LONG BEAN Production	Kg	Million
2010	2021	45.41	12	Agriculture-Subsidiary Food Crops	LUFFA Production	Kg	Million
1997	2021	472.44	25	Agriculture-Subsidiary Food Crops	MAIZE Production	Kg	Million
1997	2021	310.51	25	Agriculture-Subsidiary Food Crops	MANIOC Production	Kg	Million
1997	2021	0.35	25	Agriculture-Subsidiary Food Crops	MENERI Production	Kg	Million
1997	2021	0.37	25	Agriculture-Subsidiary Food Crops	MUSTERD Production	Kg	Million
1997	2021	75.91	25	Agriculture-Subsidiary Food Crops	POTATOES Production	Kg	Million
1997	2021	58.87	25	Agriculture-Subsidiary Food Crops	RADDISH Production	Kg	Million
1997	2021	53.78	25	Agriculture-Subsidiary Food Crops	RED ONIONS Production	Kg	Million
1997	2021	112.14	25	Agriculture-Subsidiary Food Crops	RED PUMPKIN Production	Kg	Million
1997	2021	34.76	25	Agriculture-Subsidiary Food Crops	SNAKE GOURD Production	Kg	Million
2014	2021	0.32	8	Agriculture-Subsidiary Food Crops	SORGHUM Production	Kg	Million
1997	2021	3.79	25	Agriculture-Subsidiary Food Crops	SOYA BEANS Production	Kg	Million
1997	2021	43.27	25	Agriculture-Subsidiary Food Crops	SWEET POTATOES Production	Kg	Million
1997	2021	70.61	25	Agriculture-Subsidiary Food Crops	Sugar Production	Kg	Million
1997	2021	72.59	25	Agriculture-Subsidiary Food Crops	TOMATOES Production	Kg	Million
2010	2021	51.82	12	Agriculture-Subsidiary Food Crops	TUMERIC (RAW) Production	Kg	Million
2014	2021	9.51	8	Agriculture-Subsidiary Food Crops	VATANA Production	Kg	Million
2014	2021	20.31	8	Agriculture-Subsidiary Food Crops	WINGED BEAN Production	Kg	Million
2005	2021	95.1	17	Agriculture-Tea	Estimated Tea Production - Central	Kg	Million
			0	Agriculture-Tea	Estimated Tea Production - Eastern	Kg	Million
			0	Agriculture-Tea	Estimated Tea Production - North Central	Kg	Million
			0	Agriculture-Tea	Estimated Tea Production - North Western	Kg	Million
			0	Agriculture-Tea	Estimated Tea Production - Northern	Kg	Million
2005	2021	77	17	Agriculture-Tea	Estimated Tea Production - Sabaragamuwa	Kg	Million
2005	2021	77.3	17	Agriculture-Tea	Estimated Tea Production - Southern	Kg	Million
2005	2021	31	17	Agriculture-Tea	Estimated Tea Production - Uva	Kg	Million
2005	2021	19.3	17	Agriculture-Tea	Estimated Tea Production - Western	Kg	Million
2000	2021	613	22	Agriculture-Tea	No. of Tea Factories	Number	 
2005	2021	207	17	Agriculture-Tea	No. of Tea Factories - Central	Number	 
			0	Agriculture-Tea	No. of Tea Factories - Eastern	Number	 
			0	Agriculture-Tea	No. of Tea Factories - North Central	Number	 
			0	Agriculture-Tea	No. of Tea Factories - North Western	Number	 
			0	Agriculture-Tea	No. of Tea Factories - Northern	Number	 
2005	2021	119	17	Agriculture-Tea	No. of Tea Factories - Sabaragamuwa	Number	 
2005	2021	194	17	Agriculture-Tea	No. of Tea Factories - Southern	Number	 
2005	2021	63	17	Agriculture-Tea	No. of Tea Factories - Uva	Number	 
2005	2021	30	17	Agriculture-Tea	No. of Tea Factories - Western	Number	 
1994	2020	-2327.69	27	Balance of Payments-BOP Balance	BOP- Overall Balance	USD	Millions
1996	2020	28.06	25	Balance of Payments-Capital Account	BOP - Capital Account (net)	USD	Millions
1996	2020	-1083.0	25	Balance of Payments-Current Account	BOP -Current Account Deficit	USD	Millions
1996	2020	-6007.95	25	Balance of Payments-Current Account	Balance of Payments (BOP) -Trade Deficit	USD	Millions
2012	2020	14.54	9	Balance of Payments-Financial Account	BOP - Direct Investment - Assets	USD	Millions
2012	2020	433.87	9	Balance of Payments-Financial Account	BOP - Direct Investments - Liabilities	USD	Millions
2012	2020	64.44	9	Balance of Payments-Financial Account	BOP - Other Investments- Currency and Deposits -Assets	USD	Millions
2012	2020	-14.77	9	Balance of Payments-Financial Account	BOP - Other Investments- Currency and Deposits -Liabilities	USD	Millions
2012	2020	0	9	Balance of Payments-Financial Account	BOP - Other Investments- Loans -Assets	USD	Millions
2012	2020	326.57	9	Balance of Payments-Financial Account	BOP - Other Investments- Loans -Liabilities	USD	Millions
2012	2020	-113.63	9	Balance of Payments-Financial Account	BOP - Other Investments- Other accounts payable -Liabilities	USD	Millions
2012	2020	23.78	9	Balance of Payments-Financial Account	BOP - Other Investments- Other accounts receivable -Assets	USD	Millions
2012	2020	-224.02	9	Balance of Payments-Financial Account	BOP - Other Investments- Trade Credits -Assets	USD	Millions
2012	2020	184.87	9	Balance of Payments-Financial Account	BOP - Other Investments- Trade Credits -Liabilities	USD	Millions
2012	2020	0	9	Balance of Payments-Financial Account	BOP - Portfolio Investment - Assets	USD	Millions
2012	2020	-2382.89	9	Balance of Payments-Financial Account	BOP - Portfolio Investments - Liabilities	USD	Millions
2012	2020	-1704.22	9	Balance of Payments-Financial Account	BOP - Reserve Assets	USD	Millions
			0	Balance of Payments-Financial Account	BOP - Reserve Assets - Months of Imports	months	 
2012	2020	0	9	Balance of Payments-Financial Account	BOP - Special Drawing Rigths - Liabilities	USD	Millions
1996	2020	-2101.23	25	Balance of Payments-Primary Income	BOP - Primary Income (net)	USD	Millions
1996	2020	6206.77	25	Balance of Payments-Secondary Income	BOP- Secondary Income (net)	USD	Millions
1998	2020	1692221	23	Banking Sector-All Banks	Banking Sector- Borrowings	Rs	Millions
1998	2020	1265378	23	Banking Sector-All Banks	Banking Sector- Capital Base	Rs	Millions
1998	2020	1254164	23	Banking Sector-All Banks	Banking Sector- Capital Funds	Rs	Millions
1998	2020	3230830	23	Banking Sector-All Banks	Banking Sector- Contingencies	Rs	Millions
1998	2020	999756	23	Banking Sector-All Banks	Banking Sector- Core Capital (Tier 1 Capital)	Rs	Millions
1998	2020	13.0	23	Banking Sector-All Banks	Banking Sector- Core Capital Ratio (Tier I Capital)	Ratio	%
1998	2020	81.6	23	Banking Sector-All Banks	Banking Sector- Credit to Total Deposits	Ratio	%
1998	2020	693696	23	Banking Sector-All Banks	Banking Sector- Demand Deposits	Rs	Millions
1998	2020	11140932	23	Banking Sector-All Banks	Banking Sector- Deposits	Rs	Millions
1998	2020	51.9	23	Banking Sector-All Banks	Banking Sector- Efficiency (Operating Cost) Ratio	Ratio	%
1998	2020	31492	23	Banking Sector-All Banks	Banking Sector- Foreign Exchange Income (net)	Rs	Millions
1998	2020	9091656	23	Banking Sector-All Banks	Banking Sector- Gross Loans and Advances	Rs	Millions
1998	2020	448062	23	Banking Sector-All Banks	Banking Sector- Gross Non-performing Advances	Rs	Millions
