sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Domestic Savings Investment Gap-at Current Prices (2002 Series)											-836491.48	-826552.96	-1035593.0	-952265.0	-465584.0	-313926.5	-603649.0	-371343.6	-323375.96	-219038.69	-184435.8	-109881.0	-106480.51																																						
Domestic Savings-at Current Prices (2002 Series)											2068495.62	1733661.19	1282660.0	1007218.0	1079915.71	867522.52	611598.63	628976.43	498864.0	438980.0	343580.49	291435.32	261925.0																																						
GDP - Current Market Prices (2002 Series) - Net Current Transfers from Abroad										833497.97	813128.44	728678.47	688613.18	513216.19	413884.92	336578.1	277711.5	245006.3	197861.2	174542.2	136672.0	116350.0	104981.0																																						
GDP - Current Prices (2002 Series) - Agriculture										1079755	964765.68	933634.99	833476.82	791761.27	717910.05	613694.38	590113.74	418104.29	333137.22	289905.96	262270.7	241122.3	233614.8																																						
GDP - Current Prices (2002 Series) - Agriculture - Coconut										92772	79155.97	77638.97	65551.09	72439.23	60439.18	52584.58	65251.0	40742.0	30076.0	30646.0	27254.0	28259.0	25888.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Firewood and Forestry										63749	55837.3	47838.81	40088.74	36009.87	33719.85	35860.9	31021.9	26655.0	20663.0	16235.0	11724.0	10758.0	10157.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Fishing										165460	176238.62	156358.47	134966.91	109203.57	93776.54	79554.35	67933.74	54700.0	35250.5	19226.6	33511.0	30159.0	25691.6																																						
GDP - Current Prices (2002 Series) - Agriculture - Livestock										68498	63678.36	60805.28	62340.6	57483.81	54525.7	52412.0	45721.0	40650.0	29829.4	25428.0	21318.0	17093.0	15981.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Minor Export Crops										25813	25159.15	23683.42	19849.1	18087.72	17888.15	13086.0	14477.3	11134.0	10888.8	10295.5	7854.3	7791.2	8229.1																																						
GDP - Current Prices (2002 Series) - Agriculture - Other Agricultural Crops										39457	31381.97	31558.04	27808.3	25916.07	23981.7	19222.43	18226.5	13266.29	11024.12	10752.46	10010.8	8979.0	7861.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Other Food Crops										383232	302017.25	278533.08	250948.7	233292.2	191407.5	163275.5	152383.0	107760.1	96186.1	87338.5	76161.0	70542.1	72532.4																																						
GDP - Current Prices (2002 Series) - Agriculture - Paddy										141854	108642.94	124441.67	95028.54	95807.34	113883.47	102775.91	100013.3	44629.6	39006.3	40110.0	31375.1	31141.0	32173.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Plantation Development										14486	15872.39	15580.06	15117.15	13009.4	11877.85	11169.04	9556.7	7731.0	7007.0	6512.0	5140.0	4712.0	4044.0																																						
GDP - Current Prices (2002 Series) - Agriculture - Rubber										10214	15066.04	28819.21	46577.07	62615.65	44096.45	19277.6	28029.3	21553.1	18341.3	10376.9	7382.5	5410.0	4139.6																																						
GDP - Current Prices (2002 Series) - Agriculture - Tea										74221	91715.7	88377.98	75200.61	67896.41	72313.66	64476.07	57500.0	49283.2	34864.7	32985.0	30540.0	26278.0	26918.1																																						
GDP - Current Prices (2002 Series) - Gross Domestic Product										10659917	9784672.42	8674229.79	7578554.26	6543312.58	5604103.51	4835292.74	4410682.4	3578688.43	2938679.66	2452781.89	2090841.49	1822468.32	1636036.6																																						
GDP - Current Prices (2002 Series) - Gross National Income										10408629.0	9548005.0	8448145.0	7423664.0	6471272.0	5534328.0	4779497.54	4305650.5	3539634.13	2898255.96	2422732.89	2070109.49	1805933.32	1611994.0																																						
GDP - Current Prices (2002 Series) - Industry										3536567	3308338.43	2815428.48	2388240.63	1956658.3	1649267.59	1434701.16	1295469.79	1070736.94	900478.7	740448.3	598359.3	518028.6	458264.1																																						
GDP - Current Prices (2002 Series) - Industry - Construction										1215350	1150010.34	894682.97	712272.09	511219.94	423414.13	366248.0	327138.0	264103.98	216833.0	167998.8	127692.4	110111.3	100403.6																																						
GDP - Current Prices (2002 Series) - Industry - Electricity, Gas and Water										170599	215806.89	200721.54	168959.12	141473.87	127624.64	113687.0	104665.5	88004.76	72456.7	57907.5	49116.1	43562.4	35608.0																																						
GDP - Current Prices (2002 Series) - Industry - Electricity, Gas and Water - Electricity										136852	178771.72	165140.01	137558.0	115854.41	106028.68	96321.0	87116.4	70975.6	58868.5	46957.8	41022.1	36393.4	29775.0																																						
GDP - Current Prices (2002 Series) - Industry - Electricity, Gas and Water - Gas										20992	24913.4	24864.53	22874.12	19003.22	15616.0	12224.0	13158.1	12754.16	9473.2	7513.0	5976.0	4750.0	3765.0																																						
GDP - Current Prices (2002 Series) - Industry - Electricity, Gas and Water - Water										12755	12121.77	10717.0	8527.0	6616.24	5979.96	5142.0	4391.0	4275.0	4115.0	3436.7	2118.0	2419.0	2068.0																																						
GDP - Current Prices (2002 Series) - Industry - Manufacturing										1914050	1728286.24	1536090.07	1354896.92	1191578.99	1009002.72	875561.76	791898.29	661983.2	564987.0	478610.5	391421.4	338831.9	302365.0																																						
GDP - Current Prices (2002 Series) - Industry - Manufacturing - Cottage Industry										69942	66486.1	64113.06	59044.32	53939.29	46888.3	42176.0	38658.03	34886.0	30900.0	27442.0	24094.0	21225.0	18539.0																																						
GDP - Current Prices (2002 Series) - Industry - Manufacturing - Factory Industry										1768315	1586927.0	1402353.3	1233234.0	1084255.7	916407.4	795031.5	720979.46	605544.0	516372.0	434969.5	351517.4	303459.9	270266.0																																						
GDP - Current Prices (2002 Series) - Industry - Manufacturing - Processing (Tea, Rubber and Coconut)										75793	74873.14	69623.71	62618.6	53384.0	45707.02	38354.26	32260.8	21553.2	17715.0	16199.0	15810.0	14147.0	13560.0																																						
GDP - Current Prices (2002 Series) - Industry - Mining and Quarrying										236567	214234.96	183933.9	152112.5	112385.5	89226.1	79204.4	71768.0	56645.0	46202.0	35931.5	30129.4	25523.0	19887.5																																						
GDP - Current Prices (2002 Series) - Net Factor Income from Abroad										-251287.7	-236668.78	-226086.2	-154889.21	-72040.51	-69776.12	-55795.2	-105031.9	-39054.3	-40423.7	-30049.0	-20732.0	-16535.0	-24043.0																																						
GDP - Current Prices (2002 Series) - Services										6043596	5511568.31	4925166.32	4356836.81	3794893.01	3236925.87	2786897.2	2525098.87	2089847.21	1705063.74	1422427.63	1230211.49	1063317.42	944157.7																																						
GDP - Current Prices (2002 Series) - Services - Banking, Insurance and Real Estate etc.										1234163	1084276.8	946043.83	841369.32	709315.54	597539.7	499303.9	413322.3	328157.88	266972.0	205322.0	178119.0	153869.0	130465.2																																						
GDP - Current Prices (2002 Series) - Services - Government Services										799081	660788.01	651395.3	570976.06	532455.36	500547.37	445543.0	380764.6	333758.0	257837.0	206497.0	163474.0	142793.0	139094.0																																						
GDP - Current Prices (2002 Series) - Services - Hotels and Restaurants										88622	80234.86	69104.73	57943.44	44253.87	33213.43	24988.0	20611.41	18366.6	16645.8	14217.8	11763.0	9277.0	3459.9																																						
GDP - Current Prices (2002 Series) - Services - Ownership of Dwellings										357866	329451.29	248633.1	212129.12	189269.13	171871.36	161485.0	141793.6	126211.75	103200.8	88758.7	77675.9	73032.9	68370.8																																						
GDP - Current Prices (2002 Series) - Services - Private Services										218955	201191.79	184822.46	165736.08	143550.6	127393.2	107218.9	88255.17	68905.1	55901.8	50886.3	45375.3	41693.1	39691.0																																						
GDP - Current Prices (2002 Series) - Services - Transport and Communication										1407542	1318017.76	1162668.8	988688.08	818386.04	709399.66	599933.8	530980.0	423819.8	344909.4	287490.8	240306.7	200702.2	173744.6																																						
GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a										15693	32507.79	32131.8	32726.95	28149.23	25667.3	21488.3	21584.5	18500.6	16511.9	14537.0	11863.9	10852.9	10292.8																																						
GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica										49605	41331.07	32148.6	30196.82	36295.25	27263.4	20239.5	62718.3	51917.5	39160.1	28849.7	18646.5	14451.3	10010.5																																						
GDP - Current Prices (2002 Series) - Services - Transport and Communication - Transport										1342243	1244178.91	1098388.4	925764.31	753941.56	656468.96	558206.0	446677.2	353401.7	289237.4	244104.1	209796.3	175398.0	153441.3																																						
GDP - Current Prices (2002 Series) - Services - Wholesale and Retail Trade										1937367	1837607.8	1662498.1	1519994.7	1357662.47	1096961.16	948424.6	949371.8	790628.08	659596.94	569255.03	513497.59	441950.22	389332.2																																						
GDP - Current Prices (2002 Series) - Services - Wholesale and Retail Trade - Domestic Trade										1134523	1038185.8	925272.91	806592.1	702045.73	597573.18	526546.3	457318.7	366144.58	309427.9	256050.6	220159.4	193025.6	162153.0																																						
GDP - Current Prices (2002 Series) - Services - Wholesale and Retail Trade - Export Trade										236774	242206.0	224238.47	203738.6	186903.88	157589.7	138949.7	148799.1	141973.46	118686.04	106491.91	101340.86	88960.16	77334.2																																						
GDP - Current Prices (2002 Series) - Services - Wholesale and Retail Trade - Import Trade										566070	557216.0	512986.72	509664.0	468712.86	341798.27	282928.6	343254.0	282510.03	231483.0	206712.52	191997.33	159964.46	149845.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - Govt. Consumption Expenditure											1317831.5	1137291.32	1021443.0	967702.0	872610.0	851549.0	713787.77	546545.0	451438.0	321037.0	264069.0	221622.0	208085.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Clothing and Footwear											364280.0	315679.1	286981.0	253399.4	218211.0	174546.0	175790.0	154533.5	151459.0	145934.0	137354.0	112908.0	100541.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Education											31716.0	24375.87	19245.3	15265.0	12495.0	3116.0	2820.0	2484.0	2210.12	2022.93	1886.5	1807.0	1672.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Expenditure Abroad of Residents											836791.0	715090.0	585226.4	426593.0	338286.67	250977.0	236946.0	214395.19	182950.42	167389.8	157352.0	131624.6	115522.6																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Expenditure of Non Residents											290008.0	269998.0	185644.0	124641.0	116012.43	96053.0	101160.0	92020.73	80117.31	65028.6	59148.0	52671.0	49239.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Food, Beverages and Tobacco											2259878.0	2139803.55	1989008.5	1847418.4	1446641.0	1191097.0	1163894.0	984151.5	820305.0	662163.0	614288.0	597368.0	557445.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Furnishings,Household Equipment and Rou											248673.0	221208.07	207859.0	197204.4	180260.0	183878.0	178811.0	147964.0	131107.0	101663.04	69044.0	49866.0	34753.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Health											103243.0	92477.18	83276.0	80327.0	73306.0	68564.0	56480.0	40248.0	30392.52	25278.87	22731.0	16395.0	17527.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Hotels, Cafes and Restaurants											150433.0	113720.29	87786.0	58336.0	48478.0	46749.0	45350.0	38630.0	35798.37	29567.9	26422.0	24568.0	20682.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Housing, Water, Electricity, Gas and ot											867980.0	767507.73	653970.0	570173.4	410072.0	373987.0	394810.0	266147.0	203593.96	169302.28	155153.0	140219.0	125274.6																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Leisure, Entertainment and Culture											140418.0	110922.18	101711.0	95371.0	90286.0	169032.0	183010.0	85349.0	59429.0	43218.0	40021.0	34964.0	31669.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Miscellaneous Goods and Services											228353.0	220043.16	204215.0	185309.0	174825.0	92756.0	79170.0	100731.0	75481.0	73214.0	47781.0	42661.0	40096.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - PCE - Transport											1456587.0	1352448.14	1240817.0	963637.0	774730.0	657572.0	669375.0	460555.0	375769.0	338040.0	270307.0	209701.6	170084.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - Private Consumption Expenditure											6398345.3	5803277.27	5274451.0	4568393.0	3651577.81	3116221.22	3085296.0	2403167.0	1988378.0	1692765.0	1483192.0	1309411.0	1166027.0																																						
GDP - Exp. at Current MP (2002 Series) - Consumption - Total Consumption Expenditure											7716176.8	6940568.6	6295894.0	5536095.0	4524187.81	3967770.22	3799083.77	2949712.0	2439816.0	2013802.0	1747261.0	1531033.0	1374112.0																																						
GDP - Exp. at Current MP (2002 Series) - External Demand - Exports of Goods and Services											2185038.52	1949158.04	1730467.0	1508565.0	1254021.0	1031289.2	1095679.0	1041934.7	885380.7	793153.4	738713.0	631549.0	571195.0																																						
GDP - Exp. at Current MP (2002 Series) - External Demand - Imports of Goods and Services											3021530.0	2775711.0	2766060.0	2460830.0	1719605.0	1345215.7	1699328.0	1413278.3	1208757.0	1012192.1	923149.0	741430.0	677676.0																																						
