sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Licensed Specialised Banks- Borrowings					105454	142642	192276	264616	251251	239431	262011	189887	77185	68780	56620	54733	57993	65621	49580	43939	58256	53762	48630	52443	51637	49428	44838																																		
Licensed Specialised Banks- Borrowings - Market Share					6	8	11	16	15	14	18	19	10	11	11	14	12.7	14.9	12.8	15.2	27.5	28.3	29.0	26.7	24.3	36.4	37.8																																		
Licensed Specialised Banks- Capital Base					89825	80701	74504	71373	59367	53399	64214	52453	53985	49800	49297	36875	30359	20816	18709	13866	16530	17349	16473	15228	14570	13591	12480																																		
Licensed Specialised Banks- Capital Funds					103782	87710	89558	73478	61345	62580	77766	70714	68980	65420	58251	45267	39729	38069	32776	32674	35160	31378	25010	21769	19156	16735	14689																																		
Licensed Specialised Banks- Contingencies					2603	1554	44416	72757	81724	76100	87005	65532	7978	5495	4738	2989	1616	1468	2070	11136	11097	10410	8758	12539	12242	13383	12754																																		
Licensed Specialised Banks- Core Capital (Tier 1 Capital)					71929	63495	64245	58635	52560	53325	69668	58248	58105	54569	50483	39594	37006	21364	19589	17809	23079	21450	18229	16477	15575	14608	12550																																		
Licensed Specialised Banks- Core Capital Ratio (Tier I Capital)					11.8	12.3	13.6	13.4	13.5	16.6	20.1	20.6	22.0	21.1	25.0	23.6	25.6	21.2	20.7	25.7	27.0	28.4	24.8	20.6	19.8	19.5	20.1																																		
Licensed Specialised Banks- Credit to Total Deposits					51.6	59.5	65.7	65.6	63.0	59.8	62.1	56.3	56.5	52.9	48.8	49.7	56.0	58.9	53.5	43.8	52.5	52.3	54.1	61.5	68.7	69.3	64.6																																		
Licensed Specialised Banks- Demand Deposits					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																		
Licensed Specialised Banks- Deposits					1553621	1277529	1084612	974574	846146	764155	709671	617081	564077	513813	432606	380984	317985	284609	258920	230979	203280	181206	151233	133387	117262	103583	90974																																		
Licensed Specialised Banks- Deposits - Market Share					14	14	13	13	13	14	15	15	16	17	17	17	16.9	16.3	17.3	18.1	18.8	19.9	19.1	19.1	19.2	19.2	18.9																																		
Licensed Specialised Banks- Efficiency (Operating Cost) Ratio					52.0	60.1	63.8	49.3	51.5	50.2	49.9	60.1	49.9	41.9	30.1	40.8	51.0	47.6	44.7	54.5	44.8	43.1	46.4	53.4	55.0	45.9	45.8																																		
Licensed Specialised Banks- Foreign Exchange Income (net)					391	304	1164	321	340	289	223	-931	-89	-173	-41	-30	44	4	12	2	0	0	2	31	18	19	1																																		
Licensed Specialised Banks- Gross Loans and Advances					802141	760057	712511	639706	533230	456961	440670	347117	318644	272053	211171	189468	178204	167645	138604	101115	106788	94783	81868	82047	80521	71831	58730																																		
Licensed Specialised Banks- Gross Loans and Advances - Market Share					8.8	9.4	9.3	9.9	10	10	11	10	10	10	11	12	10.9	10.9	10.7	10.1	13.1	14.1	13.5	13.8	15.4	16.5	15.8																																		
Licensed Specialised Banks- Gross Non-performing Advances					55213	42142	33924	27363	24036	29440	41946	32136	20387	18435	16731	19685	15875	11290	9317	8936	11073	10878	10817	12282	11138	11490	7104																																		
Licensed Specialised Banks- Interest Expenses					117318	121251	115224	104965	79225	64428	70214	73606	53925	39595	40440	49176	45111	33528	23390	18281	16660	18537	19935	21236	16590	15203	13137																																		
Licensed Specialised Banks- Interest Income					174945	172994	160565	146119	119795	104537	101076	91633	76940	64514	62704	65206	57225	46856	37445	30579	30270	31125	27940	27317	22799	20576	17890																																		
Licensed Specialised Banks- Investments					845182	630943	542983	568634	535247	534460	533571	470983	349032	339922	317100	276379	219417	203721	190031	181232	168885	159859	134035	110716	95924	86196	76403																																		
Licensed Specialised Banks- Net Interest Income					57627	51743	45341	41154	40570	40109	30862	18027	23015	24919	22265	16030	12114	13328	14055	12298	13610	12588	8006	6081	6209	5373	4753																																		
Licensed Specialised Banks- Net Interest Income (NII) to Average Assets (Net Interest Margin)					3.4	3.4	3.2	3.2	3.5	3.8	3.1	2.2	3.3	4.0	4.1	3.4	2.9	3.5	4.2	4.1	4.6	4.8	3.5	2.9	3.3	3.2	3.0																																		
Licensed Specialised Banks- Net Loans and Advances					781864	743789	701353	631191	528270	453009	434383	341590	314104	267365	206320	186417	175719	165659	136818	99070	102628	90620	78406	79176	78371	70084	57513																																		
Licensed Specialised Banks- Net Non-performing Advances					38154	28952	25684	21514	19076	25488	35659	26609	15846	13746	11880	16634	13391	9304	7531	6892	6913	6715	7355	9412	8988	9743	5887																																		
Licensed Specialised Banks- Net Non-performing Advances (NPLs) to Capital Ratio					36.8	33.0	28.7	29.3	31.1	40.7	45.9	37.6	20.8	19.0	17.8	30.3	26.7	23.0	21.9	21.1	19.7	21.4	29.4	43.2	46.9	58.2	40.1																																		
Licensed Specialised Banks- Net Non-performing Loans to Total Loans and Advances (Net Non-performing Advances (NPLs) Ratio)					4.9	3.9	3.6	3.4	3.6	5.6	8.2	7.8	5.0	5.1	5.8	8.9	7.6	5.6	5.5	7.0	6.7	7.4	9.4	11.9	11.5	13.9	10.2																																		
Licensed Specialised Banks- Non-interest Income					6714	5256	6532	9013	5334	5781	12072	8801	7160	6978	15538	9812	7990	3977	1537	2190	2200	2647	2347	1424	1400	1160	799																																		
Licensed Specialised Banks- Non-performing Loans to Total Loans and Advances (Gross Non-performing Advances (NPLs) Ratio)					6.9	5.5	4.8	4.3	4.5	6.4	9.5	9.3	6.4	6.8	7.9	10.4	8.9	6.7	6.7	8.8	10.4	11.5	13.2	15.0	13.8	16.0	12.1																																		
Licensed Specialised Banks- Number of Banks AMPARA					5	5	5	5	4	4	5	5	5	5	5	5	4																																												
Licensed Specialised Banks- Number of Banks ANURADHAPURA					6	6	6	6	6	6	8	7	6	6	6	6	5																																												
Licensed Specialised Banks- Number of Banks BADULLA					5	5	5	5	5	5	6	5	5	5	5	5	4																																												
Licensed Specialised Banks- Number of Banks BATTICOLOA					5	5	6	6	6	6	7	7	7	7	6	5	3																																												
Licensed Specialised Banks- Number of Banks COLOMBO					6	6	7	7	7	7	9	9	9	9	9	9	9																																												
Licensed Specialised Banks- Number of Banks GALLE					5	5	5	5	5	5	7	7	7	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks GAMPAHA					5	5	5	5	5	5	7	7	7	7	7	6	6																																												
Licensed Specialised Banks- Number of Banks HAMBANTOTA					5	5	6	6	6	6	6	6	6	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks JAFFNA					5	5	5	5	5	5	6	6	6	4	4	1	1																																												
Licensed Specialised Banks- Number of Banks KALUTARA					5	5	5	5	5	5	7	7	7	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks KANDY					5	5	6	6	6	6	7	7	7	8	8	7	7																																												
Licensed Specialised Banks- Number of Banks KEGALLE					5	5	6	6	6	6	6	6	6	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks KILINOCHCHI					3	3	3	3	2	2	2	2	2	2	2	1	1																																												
Licensed Specialised Banks- Number of Banks KURUNEGALA					5	5	5	5	5	5	7	7	7	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks MANNER					4	4	4	4	4	4	4	4	3	2	2	2	1																																												
Licensed Specialised Banks- Number of Banks MATALE					5	5	5	5	5	5	5	4	4	4	4	4	4																																												
Licensed Specialised Banks- Number of Banks MATARA					6	6	6	6	6	6	7	7	6	6	6	6	6																																												
Licensed Specialised Banks- Number of Banks MONARAGALA					5	5	5	5	4	4	4	4	4	4	4	4	4																																												
Licensed Specialised Banks- Number of Branches GAMPAHA					52	50	49	49	42	42	46	45	44	44	44	41	39																																												
Licensed Specialised Banks- Number of Other Banking Outlets GAMPAHA					0	0	27	27	27	27	27	27	27	27	27	27	27																																												
Licensed Specialised Banks- Return on Assets (ROA) – After tax					0.9	0.4	0.5	1.0	1.0	1.1	1.2	0.8	1.3	1.7	2.6	1.4	0.6	0.9	1.1	1.6	2.0	2.5	1.7	1.1	1.2	1.4	1.3																																		
Licensed Specialised Banks- Return on Assets (ROA)– Before tax					1.3	0.8	0.8	1.5	1.5	1.6	1.7	1.0	1.8	2.5	3.8	2.4	1.4	1.7	2.0	2.5	2.7	3.1	2.4	1.6	1.8	2.0	2.0																																		
Licensed Specialised Banks- Return on Equity (ROE) – After tax					16.7	6.8	7.7	19.2	18.3	20.3	15.1	8.6	13.6	17.4	27.1	15.1	6.9	10.0	11.7	15.3	17.7	22.9	16.8	10.9	12.9	15.5	14.2																																		
Licensed Specialised Banks- Specific Provision Coverage Ratio					30.9	31.3	24.3	21.4	20.6	13.4	15.0	17.2	22.3	25.4	29.0	15.5	15.7	17.6	19.2	22.9	37.6	38.3	32.0	23.4	19.3	15.2	17.1																																		
Licensed Specialised Banks- Staff Cost to Operating Expenses					55.0	55.4	54.2	54.3	51.1	52.1	47.3	54.0	52.8	51.5	49.5	53.8	53.4	54.9	53.1	38.3	46.0	43.6	42.5	46.0	42.0	43.6	46.2																																		
Licensed Specialised Banks- Statutory Liquid Asset Ratio (SLAR) – Domestic Banking Unit (DBU)					60.4	53.1	47.7	61.6	61.4	68.5	77.7	80.3	61.4	65.4	74.3	71.1	61.9	61.0	63.6	69.4	69.4	60.3	31.7	37.2	22.3	39.7	33.2																																		
Licensed Specialised Banks- Total Capital Adequacy Ratio (CAR)					14.8	15.6	15.7	16.3	15.3	16.6	18.6	18.6	20.5	20.0	24.4	22.0	21.0	20.6	19.8	20.0	19.3	23.0	22.4	19.1	18.5	18.2	19.9																																		
