sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
No.of Dental Surgeons					1571		1561	1473	1433	1340	1360	1279	1223		1122	1051	858	1314	1181	954	915	889	867	751	637	529	521	481	462	421	387	390	381	358	317																										
No.of Dispensers					1640		1698	1688	1464	1177	1192	1196	1211		1193	1071	949	989		844	840	892	892	914	879																																				
No.of ECG Recordists					418		377	359	315	298	271	297	392		267	255	257	228		162	174	158	163	160	151																																				
No.of EEG Recordists					110		97	97	89	66	65	59	65		57	52	51	39		70	29	37	38	23	20																																				
No.of Hospital Midwives					2610		2694	2485	2365	2765	2888	2848	2605		2823	2773	3016	2828	2555	2371	2668	3154	2794	2723	2596	2503	2410	2284	2393	2288	2214	2172	2025	1776	1638																										
No.of Medical Laboratory Technologists					2099		1843	1724	1566	1554	1465	1483	1478		1370	1142	973	858		905	882	871	900	873	779																																				
No.of Medical Offices - Total								19800	18968	18243	17615	16690	15910		14388	13874	12479	11023	10279	10198	8874	9063	9290	8384	7963	6994	6427	5628	5117	4577	4047	3713	3345	2934			2316		2217		1951		2035		2055																
No.of Nurses - Total								36111	34069	34051	32893	31235	31218		32680	31198	23800	22370	18950	19934	18654	16621	16517	15797	14716	14052	14448	13815	13933	13403	13060	11818	11214	9934			8317		8019		7400		6931		6123																
No.of Pharmacists					1974		1744	1626	1546	1504	1493	1348	1365		1217	1084	959	886		907	835	911	935	851	841																																				
No.of Physiotherapists					738		624	618	500	519	452	385	381		337	276	243	233		289	289	219	224	202	199																																				
No.of Public Health Inspectors					2183		1971	1720	1692	1604	1526	1544	1510		1383	1371	1475	1740	1535	1512	1397	1420	1470	1401	1486	1142	888	901	915	932	928	876	846	914	886																										
No.of Public Health Midwives					6189		6158	5746	6247	6041	5954	5950	5821		5634	5167	5331	6167	5080	4896	4524	4319	4819	4654	4798	4625	4578	4497	4352	4383	4400	4361	4108	3583	3321																										
No.of Public Health Nursing Sisters					293		314	328	277	290	277	322	332		310	169	270	290	299	313	315	310	310	259	270	237	183	145	189	174	117	109	113	101	140																										
No.of Radiographers					728		632	610	607	588	649	578	588		542	464	444	392		350	332	342	371	335	290																																				
No.of Registered-Assistant Medical Offices					658		789	818	883	936	999	1064	1130		1096	1099	1134	1194	1183	1274	1218	1260	1326	1343	1349	1340	1340	1384	1397	1376	1357	1305	1253	1201	1074																										
No.of School Dental Therapists					364		350	368	364	349	366	434	392		323	311	335	402		416																																									
