sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
GDE - Current MP (2010 Series) - GCF - GFCF - Changes in inventories and acquisition less disposals					-31312.3	-40239.7	502193.9	694256.39	131109.4	600267.09	473260.3	379536.2	877454.4	512347.98	423860.0																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Construction					1628809.2	1798989.9	1672160.4	1547231.56	1368927.96	1160409.8	1250116.48	1254492.55	1088969.23	791977.62	589707.83																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Cultivated biological resources					11506.4	10403.6	10540.7	9599.88	8190.6	8239.36	7626.61	6760.64	5982.86	5865.55	5013.29																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Information and communication technology equipment					81721.2	71061.9	60221.9	52005.13	46828.45	42114.28	36347.06	32270.81	24804.62	20879.31	16797.51																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Intellectual property products					44127.1	43092.9	40462.8	36952.31	33479.01	31066.89	29149.69	26731.56	24017.58	19670.42	17315.51																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Machinery and equipment and weapons systems					1521378.2	1593066.1	1453527.5	1381680.14	1292497.79	1152228.9	1135485.78	1111165.69	1045311.1	802850.3	678656.22																																														
GDE - Current MP (2010 Series) - GCF - GFCF - Transport equipment					522252.2	553820.0	526945.7	489271.79	460137.43	420229.24	415651.75	378368.1	343971.0	254982.21	215356.59																																														
GDE - Current MP (2010 Series) - GCF - Gross fixed capital formation (GFCF) by asset					3809794.3	4070434.4	3763859.0	3516740.81	3210061.24	2814288.46	2874377.37	2809789.35	2533056.38	1896225.41	1522846.96																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Defense					289977.5	285964.3	252563.1	259499.38	243479.51	267520.24	256772.27	208270.8	196358.01	186972.51	160991.62																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Economic affairs					98095.2	94330.2	88401.6	95584.65	88199.84	69630.85	71106.6	59386.14	52130.66	45858.49	40335.65																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Environmental protection					1728.1	4157.8	4216.0	4455.14	3840.69	3942.3	964.3	709.2	675.33	609.58	487.02																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - General public services					210928.9	208354.9	286944.0	135158.24	94405.34	100557.03	75252.04	65245.06	59808.0	50898.08	43198.77																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Housing and community ameni					1833.1	5061.3	847.1	1409.49	757.15	872.52	691.93	632.38	642.88	519.46	312.5																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Public order and safety					121452.3	92023.7	88019.6	85098.09	75524.98	68694.29	64291.51	53065.74	47851.29	44143.49	44182.68																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Recreation, culture and rel					7429.3	6312.7	6839.8	7040.82	3726.79	3912.55	8193.98	6190.6	6218.65	5471.79	4367.8																																														
GDE - Current MP (2010 Series) - Govt. Collective Final Cons. by COFOG - Social protection					264507.2	245001.9	211208.4	193868.73	177098.16	150505.82	130391.38	125950.01	113848.13	101993.87	93690.16																																														
GDE - Current MP (2010 Series) - Govt. Individual Final Cons. by COFOG - Education					274670.0	243013.9	193655.5	191890.06	177263.26	175127.39	136399.72	121234.01	105187.32	104313.11	89660.05																																														
GDE - Current MP (2010 Series) - Govt. Individual Final Cons. by COFOG - Health					285867.5	232767.9	177959.8	163401.32	150449.82	143991.82	123995.6	104999.87	83110.55	77137.93	65103.69																																														
GDE - Current MP (2010 Series) - HH Cons. by COICOP - Actual Household (HH) Final Consumption Expend					11150282.8	10960961.5	10147692.2	9297792.05	8842169.06	7695294.75	7242342.22	6709902.53	5880012.28	5326330.35	4544978.84																																														
GDE - Current MP (2010 Series) - HH Cons. by COICOP - Alcoholic beverages, tobacco and narcotics					360780.5	375780.9	342000.9	303621.28	151916.05	141465.85	132665.05	121723.9	111239.82	189844.2	168024.4																																														
GDE - Current MP (2010 Series) - HH Cons. by COICOP - Clothing and footwear					382429.0	440521.9	399931.7	366878.08	419048.63	401991.01	275522.25	280408.92	239492.64	272085.3	265839.62																																														
