sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Licensed Commercial Banks- Borrowings					1586767	1536754	1571108	1342446	1445163	1518959	1186197	825504	727132	566709	450293	334610	400130	373853	338013	245153	153329	136200	119187	143663	160647	86179	73877																																		
Licensed Commercial Banks- Borrowings - Market Share					94	92	89	84	85	86	82	81	90	89	89	86	87.3	85.1	87.2	84.8	72.5	71.7	71.0	73.3	75.7	63.6	62.2																																		
Licensed Commercial Banks- Capital Base					1175553	1100403	963733	864224	726773	607916	536779	465391	369749	312932	244768	209717	197077	165040	131292	101321	65000	54639	40610	31211	31402	37830	33532																																		
Licensed Commercial Banks- Capital Funds					1150382	1042188	940797	793226	645940	574147	490744	418897	366930	305429	236381	197910	179050	161710	129744	104597	67927	57035	40296	32275	29530	28620	33728																																		
Licensed Commercial Banks- Contingencies					3228227	2803368	3004358	2560649	5891517	2195476	2084103	2178657	2026010	1967856	1414470	1128041	1179123	1137724	694009	402477	321874	296590	243467	220154	225014	196289	196225																																		
Licensed Commercial Banks- Core Capital (Tier 1 Capital)					927827	864428	762088	704857	580171	506641	443858	380024	323773	271188	209462	175336	158771	144260	116831	95903	58984	47028	36319	28351	28373	33878	29580																																		
Licensed Commercial Banks- Core Capital Ratio (Tier I Capital)					13.1	13.0	11.9	13.4	12.4	12.8	14.1	14.3	13.9	13.4	13.0	12.9	11.1	11.9	11.3	12.2	9.3	8.9	9.3	7.8	7.8	10.3	9.8																																		
Licensed Commercial Banks- Credit to Total Deposits					86.5	93.4	94.2	90.1	91.9	91.8	86.9	86.7	92.5	91.0	81.9	76.0	93.4	93.8	93.2	86.5	81.1	79.4	81.8	90.5	90.0	83.4	80.6																																		
Licensed Commercial Banks- Demand Deposits					693696	528752	543966	496010	479202	446448	380970	296548	269832	280300	267438	199458	166164	175129	183074	165102	128462	106663	87311	72311	72605	66994	58418																																		
Licensed Commercial Banks- Deposits					9587312	7884735	7407815	6424432	5449413	4638976	3976635	3552439	3061297	2558731	2153425	1850591	1560247	1456701	1235537	1042003	875736	730295	641342	565091	492254	436007	389272																																		
Licensed Commercial Banks- Deposits - Market Share					86	86	87	87	87	86	85	85	84	83	83	83	83.1	83.7	82.7	81.9	81.2	80.1	80.9	80.9	80.8	80.8	81.1																																		
