sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984
Government sector western medicine - Beds				78228	77121	77964	76824	76774	76829	76781	76918	74636	73437	69731	69501	68897	65835	62197	62749	61937	60328	61808	59781	58833	58423	55436	53737	52635	52613	52528	50091	48949	48061	42437	42079	44721	44454	45019	45706	43856	43877
Government sector western medicine - Doctors				18992	18218	18130	19692	20349	20458	19429	17903	17553	17129	16384	14125	13633	13026	11442	10526	9070	8749	8342	7459	7235	6873	5957	5612	4956	4391	3986	3496	3713	3345	2934	2440	2456	2316	2354	2222	2151	1951
Government sector western medicine - Hospital beds per 1,000 persons				3.5	3.5	3.6	3.5	3.6	3.6	3.7	3.7	3.6	3.6	3.3	3.4	3.4	3.3	3.1	3.2	3.2	3.1	3.2	3.2	3.1	3.1	2.9	2.9	2.8	2.9	2.9	2.8	2.8	2.8	2.5	2.5	2.7	2.7	2.7	2.8	2.8	2.8
Government sector western medicine - Hospitals				618	609	603	612	612	610	610	601	603	593	592	568	555	619	619	604	606	598	606	605	585	578	558	550	547	540	535	510	504	506	504	502	502	498	497	497	490	490
Government sector western medicine - In-patients					7478	7478	7116		6493	6322	6120	5926	5840		5591	5474	4898	4609	4463	4345	4242	3993	4032	4092	4015	3826	3797	3453	3339	2953	3204	3174	3023	2629	2533	2524	2543	2772	2590	2494	2543
Government sector western medicine - Nurses				38743	37133	38276	34714	34221	32499	32272	31964	30928	30136	29101	27494	25549	22996	22088	20912	20332	17316	16711	16139	15061	14931	14052	14463	14399	13846	13310	13060	11818	11214	9934	8957	9486	8317	7843	7983	8091	7401
Government sector western medicine - Nurses per 10,000 persons				17.5	16.9	17.6	16.7	16.0	15.3	15.4	15.4	15.0	14.8	13.9	13.3	12.5	11.4	11.0	10.5	10.4	8.9	8.7	8.5	8.0	7.8	7.4	7.7	7.8	7.6	7.3	7.3	6.7	6.4	5.8	5.3	5.6	5.0	4.8	5.0	5.1	4.7
Government sector western medicine - Out-patients					58920	58920	57410		53044	54652	55105	53861	50631		49871	48782	45382	43073	41429	42483	43392	43765	45681	43350	43329	41325	41071	39503	35348	32084	35276	36892	36827	28575	28401	31781	31407	34139	32561	29570	31908
Government sector western medicine - Persons per doctor				1167	1203	1203	1035	1054	1036	1079	1160	1172	1192	1274	1464	1502	1554	1751	1887	2166	2221	2298	2537	2598	2779	3199	3347	3747	4176	4550	5118	4752	5210	5885	6973	6851	7167	6955	7258	7365	7997
Health Indicators - Infant Mortality per 1,000 live births										8.5		8.2			10	10	9	9	10	11	10	11	11	13	13	13	14	16	17	17	17	16	18	17	19	18	20	23	23	24	27
