sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Central				216	158.0	410	425.0	367	431	416	246	196	211	67	49	27	42	27	16	11	12	16	7		6																																				
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Eastern				51	102.0	84	125.0	101	82	50	21	18	22																																																
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-North-Central				64	63.0	61	64.0	75	67	58	47	24	25	24	19	18	12	14	19	7	12	12	11		4																																				
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-North-Western				91	118.0	143	151.0	141	155	164	104	615	78		2	1		1	2	1	1		1			8																																			
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Northern				16	45.0	35	35.0	47	42																																																				
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Sabaragamuwa				1	110.0	114	120.0	96	124	113	57	55	53							0	0	0			0.13																																				
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Southern				76	134.0	132	133.0	142	197	171	78	75	59					1	1	1	1	1	1		1	1																																			
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Total				1055	1569	1764	1800	1731	2028	1820	942	1363	794	91	70	61	54	43	38	20	26	29	20	12		9	7	10	6																																
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Uva				59	115.0	113	98.0	102	119	126	56	54	51			14																																													
Analysis of Revenue Collection of Provincial Councils-Excise Duty on Liquor-Western				482	725.0	673	649.0	659	812	723	333	327	295																																																
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Central														118	114	76	27	78	60	64	47	62	39		26	8																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Eastern														29																																															
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-North-Central																										13																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-North-Western														69	49	29	14	40	22	26	18	15	12		10	34																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Northern																																																													
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Sabaragamuwa														44	38	26	10	31	26	22	16	15	11		10	9																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Southern															3	50	37	46	40	18	21	12	11		13	9																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Total														577	529	381	143	383	390	299	226	205	147	126		118	118	93	89																																
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Uva														54	40	11	21	37	54	17	12	11	8		9																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Liquor-Western														264	285	188	65	219	210	152	112	90	66		58	41																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Central				6	6.0	7	10.0	13	5	4	3	2		1369					1	0	0	0			0.31																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Eastern																																																													
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-North-Central														861	3	4	1	147		0	0	0			0.01																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-North-Western											1			1366						0	0	10																																							
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Northern																																																													
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Sabaragamuwa																	1			1	0	1	1		0.17																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Southern				1	2.0	2	1.0	2	2	3	2	1	1	64	58	2		1	1	0	1	1	1		0.34																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Total				7	7	9	12	15	7	6	7	4	1	11024	164	99	29	223	101	73	57	73	52	43				35	31																																
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Uva											1			6	7	12	4			3	7	7	3		1																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Others-Western														7359	96	81	28	75	95	69	49	55	47		41																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Central				1032	950.0	985	963.0	901	851	806	674	628	467	438	339	315	211	189	213	180	139	132	110		103	27																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Eastern				565	550.0	524	496.0	464	455	335	337	281	197	215	72																																														
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central				632	731.0	631	604.0	570	535	488	392	350	421	284	215	178	109	147	90	81	73	58	38		40	105																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Western				1532	1372.0	1441	1397.0	1295	1234	1131	953	851	647	544	463	502	332	250	219	188	162	147	121		118	95																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern				412	380.0	379	378.0	324	305	283	219	189																																																	
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa				845	780.0	791	768.0	712	672	626	517	440	343	285	242	248	95	156	125	106	87	77	67		62	54																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Southern				1267	1250.0	1237	1252.0	1176	612	945	785	671	516	376	331	282	198	248	177	130	137	135	102		96	92																																			
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Total				11044	11313	10771	10554	9849	8921	8711	7480	6588	5142	4362	3588	3262	2337	2168	1918	1707	1525	1399	1172	1125		1061	983	871	825																																
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Uva				488	700.0	464	452.0	420	387	347	278	246	179	141	120	144	64	61	4	50	43	38	31		29																																				
Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Western				4272	4600.0	4319	4245.0	3988	3869	3751	3325	2931	2373	2078	1806	1594	1487	1115	1039	972	884	812	703		676	653																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Central				747	861.0	4013	3863.0	3688	2992	2582	2498	2009	2058	334	248	288	185	235	169	127	120	92	29		38	68																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Eastern				498	715.0	2275	2251.0	2184	1820	1527	1354	1259	1139	202	202	44	27	50																																											
Analysis of Revenue Collection of Provincial Councils-Other Revenue-North-Central				1057	1007.0	2558	2686.0	2454	2253	1675	1292	1532	1281	415	276	95	101	152	121	88	72	69	42		32	116																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-North-Western				1392	1427.0	4569	4290.0	4066	3266	2833	3951	2616	2663	1299	489	313	246	360	251	210	159	146	82		78.79	32																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Northern				823	859.0	2597	2347.0	2808	2237	1456	1249	1008	1035	81	53	32	21	28																																											
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Sabaragamuwa				665	875.0	2461	2370.0	2350	2239	1332	1403	1292	1414	416	214	203	146	235	167	179	105	99	65		54.25	80																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Southern				1365	4305.0	4616	4309.0	4191	3052	2824	2680	2228	2381	510	360	354	379	308	225	196	192	127	101		88	74																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Total				10629	18391	46351	45151	43909	36038	29986	29599	25837	26571	6332	4516	2328	1751	2388	1714	1501	1235	1021	780	776		1072	584	425	221																																
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Uva				665	2970.0	2292	2353.0	2201	1938	1552	1504	1344	1302	220	174	113	87	108	75	71	53	42	44		45.68	35																																			
Analysis of Revenue Collection of Provincial Councils-Other Revenue-Western				3417	5374.0	20969	20683.0	19966	16240	14204	13668	11548	13298	2855	2500	887	792	931	652	581	489	446	394		422.44	614																																			
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Central															72	77	69	74	70	69	61	57			0.79																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Eastern															57	31	18	16																																											
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-North-Central															61	152	44	67	68	54	56	36	35		40																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-North-Western															138	215	170	93	48	42	35	29	32		31																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Northern															20	19	16	12																																											
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Sabaragamuwa															109	70	48	25	24	25	68	21	19		15																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Southern															38	68	48	47	52	38	36	29	29		39																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Total															1261	2187	2422	1955	1181	810	745	565	355	282				175	210																																
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Uva															10	45	33	27	48	53	41	34	14		13																																				
Analysis of Revenue Collection of Provincial Councils-Profit and Dividends-Western															757	1511	2057	1646	844	503	421	359	204		121																																				
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Central				2905	1855.0	2418	2660.0	2410	2590	2212	1797	1492	1516	1302	482	404	377	373	365		260	223	124		121	17																																			
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Eastern				1189	1023.0	1039	968.0	950	959	793	656	647	313	133	110																																														
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-North-Central				664	785.0	628	606.0	721	736	589	368	417	429	270	41	48	23	27	22	17	14	11	12		7	143																																			
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-North-Western				3765	2510.0	2719	2708.0	2586	2723	2255	709	615	1491	899	671	562	565	584	503	420	323	280	175		159	109																																			
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Northern				1574	1317.0	1366	1245.0	404	530	481	398	331	325																																																
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Sabaragamuwa				1533	1610.0	1689	772.0	1083	1149	926	653	686	688	653	263	181	165	179	165	135	118	90	59		53	47																																			
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Southern				3545	2605.0	2807	2798.0	2659	2766	2158	1721	1449	1267	828	502	350	591	378	320	288	278	208	104		94	90																																			
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Total				41205	34679	32430	34083	31443	32547	27000	20607	16739	16538	13987	6712	5250	5384	5523	5512	4181	3762	3208	2005	1468		1372	1267	1051	1036																																
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Uva				914	1010.0	808	804.0	761	841	699	597	460	457	126	96	69	65	70	62	45	35	33	17		18																																				
Analysis of Revenue Collection of Provincial Councils-Stamp Duty-Western				25114	21965.0	18956	21523.0	19869	20252	16887	13709	10640	10050	9775	4548	3637	3828	4161	4075	3276	2734	2363	1514		1016	959																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue				63942	65974	91344	91621	86976	79585	67972	59134	49648	49235	40991	36826	29400	27430	24809	19480	15794	13523	11564	8673	7536		6993	5940	5394	4883																																
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Central				4905	3830.0	7836	7922.0	7382	6874	6027	5229	4344	4298	4045	2986	2700	2206	2035	1301	1272	1077	978	624		574	194																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Eastern				2303	2390.0	3921	3839.0	3699	3316	2705	2368	2205	1671	825	900	74	45																																												
Analysis of Revenue Collection of Provincial Councils-Total Revenue-North-Central				2417	2586.0	3879	3961.0	3822	3592	2818	2112	2326	2168	1971	1171	1011	761	926	418	414	359	318	244		226	540																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-North-Western				6780	5430.0	8878	8553.0	8092	7383	6384	5720	4699	4882	4370	2949	2630	2209	2065	1211	1242	1077	978	624		574	194																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Northern				2825	2600.0	4377	4006.0	3583	3115	2219	1866	1529	1360	81	73	51	37																																												
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Sabaragamuwa				3044	3375.0	5057	4030.0	4242	4186	3381	2835	2474	2504	2360	1705	1420	1057	1139	601	691	571	457	344		305	266																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Southern				6255	8294.0	8795	8494.0	8171	6630	6104	5274	4441	4253	2160	2924	2507	3202	2150	1172	1082	1031	828	626		559	477																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Uva				2126	4795.0	3678	3707.0	3487	3287	2727	2637	2109	1997	661	975	862	638	626	375	397	321	286	213		194	35																																			
Analysis of Revenue Collection of Provincial Councils-Total Revenue-Western				33287	32673.0	44922	47109.0	44498	41203	35607	31092	25522	26104	24517	23144	18145	18970	16984	12658	10959	9105	7819	5954		5063	4719																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Central						4	2.0	3	5	8	10	16	46	417	1683	1511	1295	1059	576	483	438	396	315		279	75																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Eastern														246	459																																														
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-North-Central						1	1.0	1	1	9	14	3	11	117	556	516	471	372	219	167	132	132	106		103	163																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-North-Western				1	4.0	7	8.0	4	3	1	1	1	2	194	1136	1009	882	737	417	356	283	251	200		177	268																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Northern																																																													
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Sabaragamuwa						1		1	2	384	205		5	961	839	691	592	513	261	222	183	154	122		110	96																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Southern						2	1.0	1	2	3	8	17	29	381	1632	1402	1949	1121	581	411	365	315	277		228	211																																			
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Total				3	14	20	21	29	44	448	498	117	188	4617	19986	15831	15310	12126	8626	7202	5947	5063	4142	3705		3361	2980	2734	2464																																
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Uva							1.0	3	2	2	203	4	8	115	528	454	364	323	176	157	130	121	96		78																																				
Analysis of Revenue Collection of Provincial Councils-Turnover Tax-Western				2	10.0	6	8.0	16	29	42	57	76	87	2186	13153	10248	10713	8837	6395	5406	4416	3694	3026		2728	2453																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Central				38879	36515.0	31043	27444.0	25420	24866	25432	19038	15008	14079	15269	14850	14295	15145	9295	9574	7641	5995	5378	4544		4271	2149																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Eastern				29940	28796.0	23346	22632.0	21420	18971	18937	14881	11721	11526	11925	11330	10302	9608	7553																																											
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-North-Central				22260	20664.0	18334	17155.0	16688	16124	15833	11651	8326	8904	9952	9231	7964	8920	5553	5892	4799	3667	3373	2829		2484	3593																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-North-Western				35024	32130.0	26591	24263.0	24631	22688	23384	18622	14255	12909	14512	13906	13136	14625	11180	9711	7548	5863	5212	4400		3887	3747																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Northern				28762	27151.0	23365	21385.0	21304	19068	18108	14045	10526	9318	10504	10186	9163	8920	7472																																											
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Sabaragamuwa				31975	27829.0	24745	23708.0	21747	19555	20848	16577	13270	11629	11694	10559	10100	11083	7899	6421	5465	4327	4039	3062		3115	2724																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Southern				37718	33737.0	26508	25382.0	23977	22118	23449	17090	13202	12910	13300	12160	11309	12129	10060	9072	7374	5526	5372	4127		4397	4033																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Total				299799	278349	213549	196093	190117	184691	185082	139188	106716	100820	108410	100133	90606	98733	61481	67531	53690	40672	36701	29846	28506		25967	24102	21074	20002																																
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Uva				27401	25206.0	21000	18651.0	18840	17937	17962	14514	10574	9979	10280	10120	9110	9490	6485	5486	4888	3694	3297	2551		2356	3994																																			
Revenue and Expenditure of Provincial Councils-Receipts-Grant from the Central Govt.-Western				47839	46322.0	18621	15472.0	16091	23344	21128	12770	9834	9565	10974	7791	5228	9406	10368	8879	6443	4532	3936	3724		3285	3342																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Central				4905	4442.0	5843	7922.0	7382	6874	6027	5229	4344	4298	4045	2986	2700	1742	1557	1015	1272	1077	977	624		574	194																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Eastern				2303	2167.0	3090	3839.0	3699	3316	2705	2835	2205	1671	825	900	74	31	56																																											
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-North-Central				2417	2542.0	2659	3961.0	3822	3592	2818	2112	2326	2168	1971	1171	1011	661	622	398	414	359	318	244		226	540																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-North-Western				6780	5618.0	6770	8553.0	8092	7383	6384	5720	4699	4882	4370	2949	2630	1359	1213	768	1242	980	869	623		576	546																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Northern				2825	2591.0	3454	4006.0	3583	3115	2219	1866	1529	1360	81	73	51	26	33																																											
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Sabaragamuwa				3044	2930.0	3773	4030.0	4242	4186	3381	2960	2474	2504	2360	1705	1420	813	844	497	691	578	456	344		305	266																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Southern				6255	5492.0	6639	8494.0	8171	6630	6104	5274	4441	4253	2160	2924	2507	2351	1596	912	1083	1031	827	626		559	477																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Total				63942	52245	65716	91621	86976	79585	67972	59726	49648	49235	40991	36826	29399	20307	15776	12038	16133	13522	11624	8674	7536		6993	5940	5394	4883																																
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Uva				2126	2025.0	2784	3707.0	3487	3297	2727	2637	2109	1997	661	975	861	549	537	371	397	321	286	213		194	35																																			
Revenue and Expenditure of Provincial Councils-Receipts-Revenue-Western				33287	24437.0	37026	47109.0	44498	41203	35607	31092	25522	26104	24517	23144	18145	12772	10699	8013	10959	9104	7820	5954		5063	4719																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total				363742	330594	285588	287714	277094	264276	253053	198914	156364	150055	149401	136959	120004	119040	77257	79567	69823	54194	48325	38521	36042		32960	30042	26468	24886																																
Revenue and Expenditure of Provincial Councils-Receipts-Total-Central				43785	40957.0	36885	35367.0	32802	31760	31459	24267	19352	18377	19314	17836	16995	16887	10852	10589	8913	6461	6355	5168		4845	2343																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-Eastern				32243	30963.0	26436	26470.0	25119	22287	21642	17716	13927	13197	12750	12230	10376	9639	7609																																											
Revenue and Expenditure of Provincial Councils-Receipts-Total-North-Central				24677	23206.0	20993	21116.0	20510	19716	18651	13764	10652	11072	11923	10401	8975	9581	6175	6290	5213	4026	3691	3073		2710	4133																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-North-Western				41803	37749.0	33361	32817.0	32723	30070	29768	24342	18953	17791	18882	16855	15766	15984	12393	10479	8790	6842	6081	5023		4463	4293																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-Northern				31588	29742.0	26819	25391.0	24887	22183	20327	15911	12055	10677	10585	10258	9214	8946	7505																																											
Revenue and Expenditure of Provincial Councils-Receipts-Total-Sabaragamuwa				35020	30758.0	28518	27739.0	25989	23741	24229	19537	15744	14133	14054	12264	11519	11896	8743	6918	6156	4905	4495	3406		3420	2990																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-Southern				43972	39229.0	33146	33876.0	32149	28748	29553	22364	17644	17162	15460	15084	13816	14480	11656	9984	8457	6557	6199	4753		4957	4510																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-Uva				29527	27231.0	23784	22358.0	22327	21234	20689	17152	12682	11976	10941	11095	9971	10039	7022	5857	5285	4015	3583	2764		2550	4029																																			
Revenue and Expenditure of Provincial Councils-Receipts-Total-Western				81126	70759.0	55647	62581.0	60589	64547	56736	43862	35355	35669	35491	30935	23373	22178	21067	16892	17402	13636	11756	9678		8347	8061																																			
