sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
GDP - Constant (2002) Prices - Agriculture										370917	353799.48	352583.34	336817.26	320154.4	315610.27	295096.61	285896.71	265870.26	257147.19	241851.2	237536.2	237530.6	233614.84																																						
GDP - Constant (2002) Prices - Agriculture - Coconut										31991	28536.13	26440.92	31504.43	29720.38	28855.2	33684.62	31975.0	30403.0	28932.53	27204.0	28012.0	27003.0	25888.0																																						
GDP - Constant (2002) Prices - Agriculture - Firewood and Forestry										21126	18819.51	18252.02	17376.77	16480.58	15831.76	15357.36	14499.0	13543.54	12882.36	12081.0	11322.4	10751.0	10157.0																																						
GDP - Constant (2002) Prices - Agriculture - Fishing										44177	45396.84	43449.26	40894.05	37430.58	32407.4	28888.4	27016.0	24585.1	21259.69	13845.5	24290.0	24171.2	25691.6																																						
GDP - Constant (2002) Prices - Agriculture - Livestock										30241	28015.25	27174.55	25555.78	24028.93	22396.7	21760.84	20494.7	19414.62	17992.0	16643.9	16269.7	16188.8	15981.0																																						
GDP - Constant (2002) Prices - Agriculture - Minor Export Crops										10753	10609.8	12479.97	11507.15	12113.88	14954.53	11028.04	10478.0	10706.13	10187.0	9966.0	8569.3	8780.4	8229.1																																						
GDP - Constant (2002) Prices - Agriculture - Other Agricultural Crops										12635	12100.5	12405.63	11534.75	10839.47	10146.45	9390.19	8930.96	8749.13	8688.56	8253.1	8227.8	8243.5	7861.04																																						
GDP - Constant (2002) Prices - Agriculture - Other Food Crops										127125	124761.63	116546.34	111722.12	102378.3	99994.0	95799.11	89536.0	85503.0	81937.04	79587.3	75524.0	73006.7	72532.4																																						
GDP - Constant (2002) Prices - Agriculture - Paddy										52316	43385.97	52084.18	43596.0	44325.06	48377.06	41178.68	43406.41	35260.9	37607.98	36540.8	29566.6	34566.0	32173.0																																						
GDP - Constant (2002) Prices - Agriculture - Plantation Development										7800	8211.9	8190.57	7926.36	7287.17	6894.83	6539.91	6216.0	6006.27	5679.02	5413.0	4669.4	4282.0	4044.0																																						
